[2024-03-16T02:51:55.651+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2024-03-15T00:00:00+00:00 [queued]>
[2024-03-16T02:51:55.659+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2024-03-15T00:00:00+00:00 [queued]>
[2024-03-16T02:51:55.660+0000] {taskinstance.py:2171} INFO - Starting attempt 1 of 1
[2024-03-16T02:51:55.689+0000] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): get_data> on 2024-03-15 00:00:00+00:00
[2024-03-16T02:51:55.698+0000] {standard_task_runner.py:60} INFO - Started process 196 to run task
[2024-03-16T02:51:55.705+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'play_with_***_connections_and_hooks', 'get_data', 'scheduled__2024-03-15T00:00:00+00:00', '--job-id', '436', '--raw', '--subdir', 'DAGS_FOLDER/play_with_***_connections_and_hooks.py', '--cfg-path', '/tmp/tmpi84108zz']
[2024-03-16T02:51:55.714+0000] {standard_task_runner.py:88} INFO - Job 436: Subtask get_data
[2024-03-16T02:51:56.768+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_subscription_rel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.769+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_group', 'VIEW', None, None, None, None, None, 'YES', 'NO', None)
[2024-03-16T02:51:56.769+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_user', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.769+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_policies', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.770+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_rules', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.770+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_views', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.771+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_matviews', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.771+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.774+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_sequences', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.774+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stats', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.775+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stats_ext', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.775+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stats_ext_exprs', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.776+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_publication_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.776+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_locks', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.777+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_cursors', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.777+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_available_extensions', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.778+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_available_extension_versions', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.779+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_prepared_xacts', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.780+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_prepared_statements', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.780+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_seclabels', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.781+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_timezone_abbrevs', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.786+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_timezone_names', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.786+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_all_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.787+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_xact_all_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.787+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_xact_user_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.788+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_sys_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.788+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_xact_sys_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.789+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stat_user_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-03-16T02:51:56.789+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_statio_all_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
