[2024-02-10T03:23:13.897+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2024-02-09T00:00:00+00:00 [queued]>
[2024-02-10T03:23:13.915+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2024-02-09T00:00:00+00:00 [queued]>
[2024-02-10T03:23:13.915+0000] {taskinstance.py:2171} INFO - Starting attempt 2 of 2
[2024-02-10T03:23:13.935+0000] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): get_data> on 2024-02-09 00:00:00+00:00
[2024-02-10T03:23:13.942+0000] {standard_task_runner.py:60} INFO - Started process 693 to run task
[2024-02-10T03:23:13.946+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'play_with_***_connections_and_hooks', 'get_data', 'scheduled__2024-02-09T00:00:00+00:00', '--job-id', '228', '--raw', '--subdir', 'DAGS_FOLDER/play_with_***_connections_and_hooks.py', '--cfg-path', '/tmp/tmps_ckggc6']
[2024-02-10T03:23:13.948+0000] {standard_task_runner.py:88} INFO - Job 228: Subtask get_data
[2024-02-10T03:23:14.529+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_ts_parser', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.529+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_ts_template', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.529+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_extension', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.530+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_foreign_data_wrapper', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.530+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_foreign_server', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.533+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_policy', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.534+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_replication_origin', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.534+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_default_acl', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.535+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_init_privs', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.535+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_seclabel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.536+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_shseclabel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.536+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_collation', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.537+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_parameter_acl', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.537+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_partitioned_table', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.538+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_range', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.538+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_transform', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.539+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_sequence', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.539+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_publication', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.540+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_publication_namespace', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.540+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_publication_rel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.541+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_subscription_rel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.541+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_group', 'VIEW', None, None, None, None, None, 'YES', 'NO', None)
[2024-02-10T03:23:14.542+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_user', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.542+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_policies', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.543+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_rules', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.543+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_views', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.544+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_matviews', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.544+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.545+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_sequences', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.545+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stats', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.546+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stats_ext', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.546+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_stats_ext_exprs', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.547+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_publication_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.547+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_locks', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.548+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_cursors', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.548+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_available_extensions', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.549+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_available_extension_versions', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.549+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_prepared_xacts', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.550+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_prepared_statements', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.551+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_seclabels', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-02-10T03:23:14.551+0000] {logging_mixin.py:188} INFO - ('***', 'pg_catalog', 'pg_timezone_abbrevs', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
